date,hours_available,temperature_max_c,temperature_min_c,temperature_mean_c,humidity_max_pct,humidity_mean_pct,wind_mean_mps,solar_max_wm2,heat_index_max_c,wet_bulb_max_c,wbgt_max_c,wbgt_mean_c,utci_max_c,utci_mean_c,danger_hours,extreme_hours,night_temperature_min_c,daily_heat_level,is_dangerous_day,consecutive_danger_days,previous_day_wbgt_c,previous_day_utci_c,wbgt_3day_mean_c,utci_3day_mean_c,thermal_hazard_score,heat_duration_score,ward_id,ward_name,population,area_sq_km,children_0_6,elderly_60_plus,outdoor_workers,mean_ndvi,hospitals_per_100k,population_density,child_percentage,elderly_percentage,outdoor_worker_percentage,population_density_score,population_size_score,child_vulnerability_score,elderly_vulnerability_score,outdoor_worker_score,vegetation_deficiency_score,healthcare_deficiency_score,demographic_vulnerability_score,population_exposure_score,vulnerability_level,mortality_risk_index,risk_level,alert_colour,recommended_action,risk_rank_within_city,model_version,risk_interpretation
2024-05-11,24,41.73,27.6,34.35,49.26,29.22,2.7,881.8,40.62,22.59,30.16,25.48,49.38,35.92,10,5,27.6,Extreme,True,10,30.7,48.15,30.33,48.53,77.31,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,59.88,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-11,24,41.73,27.6,34.35,49.26,29.22,2.7,881.8,40.62,22.59,30.16,25.48,49.38,35.92,10,5,27.6,Extreme,True,10,30.7,48.15,30.33,48.53,77.31,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,53.77,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-12,24,41.92,27.78,34.88,38.97,24.38,2.61,860.75,40.37,21.99,29.71,25.1,49.17,36.45,10,5,27.78,Extreme,True,11,30.16,49.38,30.19,48.9,75.16,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,71.15,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-12,24,41.92,27.78,34.88,38.97,24.38,2.61,860.75,40.37,21.99,29.71,25.1,49.17,36.45,10,5,27.78,Extreme,True,11,30.16,49.38,30.19,48.9,75.16,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,64.37,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-12,24,41.92,27.78,34.88,38.97,24.38,2.61,860.75,40.37,21.99,29.71,25.1,49.17,36.45,10,5,27.78,Extreme,True,11,30.16,49.38,30.19,48.9,75.16,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,62.87,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-12,24,41.92,27.78,34.88,38.97,24.38,2.61,860.75,40.37,21.99,29.71,25.1,49.17,36.45,10,5,27.78,Extreme,True,11,30.16,49.38,30.19,48.9,75.16,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,58.21,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-12,24,41.92,27.78,34.88,38.97,24.38,2.61,860.75,40.37,21.99,29.71,25.1,49.17,36.45,10,5,27.78,Extreme,True,11,30.16,49.38,30.19,48.9,75.16,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,52.28,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-13,24,42.4,27.9,34.96,35.11,20.55,2.68,881.0,40.13,21.15,29.38,24.32,49.44,35.74,10,4,27.9,Extreme,True,12,29.71,49.17,29.75,49.33,73.93,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,69.99,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-13,24,42.4,27.9,34.96,35.11,20.55,2.68,881.0,40.13,21.15,29.38,24.32,49.44,35.74,10,4,27.9,Extreme,True,12,29.71,49.17,29.75,49.33,73.93,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,63.31,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-13,24,42.4,27.9,34.96,35.11,20.55,2.68,881.0,40.13,21.15,29.38,24.32,49.44,35.74,10,4,27.9,Extreme,True,12,29.71,49.17,29.75,49.33,73.93,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,61.84,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-13,24,42.4,27.9,34.96,35.11,20.55,2.68,881.0,40.13,21.15,29.38,24.32,49.44,35.74,10,4,27.9,Extreme,True,12,29.71,49.17,29.75,49.33,73.93,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,57.26,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-13,24,42.4,27.9,34.96,35.11,20.55,2.68,881.0,40.13,21.15,29.38,24.32,49.44,35.74,10,4,27.9,Extreme,True,12,29.71,49.17,29.75,49.33,73.93,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,51.42,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-14,24,43.09,25.36,34.47,25.99,15.96,3.63,920.97,39.99,20.09,28.76,22.96,51.32,35.42,10,7,25.36,Extreme,True,13,29.38,49.44,29.28,49.98,71.79,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,67.96,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-14,24,43.09,25.36,34.47,25.99,15.96,3.63,920.97,39.99,20.09,28.76,22.96,51.32,35.42,10,7,25.36,Extreme,True,13,29.38,49.44,29.28,49.98,71.79,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,61.48,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-14,24,43.09,25.36,34.47,25.99,15.96,3.63,920.97,39.99,20.09,28.76,22.96,51.32,35.42,10,7,25.36,Extreme,True,13,29.38,49.44,29.28,49.98,71.79,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,60.05,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-14,24,43.09,25.36,34.47,25.99,15.96,3.63,920.97,39.99,20.09,28.76,22.96,51.32,35.42,10,7,25.36,Extreme,True,13,29.38,49.44,29.28,49.98,71.79,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,55.6,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-14,24,43.09,25.36,34.47,25.99,15.96,3.63,920.97,39.99,20.09,28.76,22.96,51.32,35.42,10,7,25.36,Extreme,True,13,29.38,49.44,29.28,49.98,71.79,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,49.93,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-15,24,43.64,27.18,35.3,18.78,11.8,2.83,957.12,39.9,19.3,28.61,22.61,51.93,36.43,10,7,27.18,Extreme,True,14,28.76,51.32,28.92,50.9,71.13,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,67.34,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-15,24,43.64,27.18,35.3,18.78,11.8,2.83,957.12,39.9,19.3,28.61,22.61,51.93,36.43,10,7,27.18,Extreme,True,14,28.76,51.32,28.92,50.9,71.13,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,60.92,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-15,24,43.64,27.18,35.3,18.78,11.8,2.83,957.12,39.9,19.3,28.61,22.61,51.93,36.43,10,7,27.18,Extreme,True,14,28.76,51.32,28.92,50.9,71.13,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,59.5,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-15,24,43.64,27.18,35.3,18.78,11.8,2.83,957.12,39.9,19.3,28.61,22.61,51.93,36.43,10,7,27.18,Extreme,True,14,28.76,51.32,28.92,50.9,71.13,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,55.09,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-15,24,43.64,27.18,35.3,18.78,11.8,2.83,957.12,39.9,19.3,28.61,22.61,51.93,36.43,10,7,27.18,Extreme,True,14,28.76,51.32,28.92,50.9,71.13,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,49.48,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-16,24,44.87,26.63,36.64,16.08,12.45,2.36,923.33,41.7,21.01,29.88,23.91,52.46,37.75,10,8,26.63,Extreme,True,15,28.61,51.93,29.08,51.9,77.1,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,72.99,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-16,24,44.87,26.63,36.64,16.08,12.45,2.36,923.33,41.7,21.01,29.88,23.91,52.46,37.75,10,8,26.63,Extreme,True,15,28.61,51.93,29.08,51.9,77.1,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,66.03,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-16,24,44.87,26.63,36.64,16.08,12.45,2.36,923.33,41.7,21.01,29.88,23.91,52.46,37.75,10,8,26.63,Extreme,True,15,28.61,51.93,29.08,51.9,77.1,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,64.5,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-16,24,44.87,26.63,36.64,16.08,12.45,2.36,923.33,41.7,21.01,29.88,23.91,52.46,37.75,10,8,26.63,Extreme,True,15,28.61,51.93,29.08,51.9,77.1,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,59.71,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-16,24,44.87,26.63,36.64,16.08,12.45,2.36,923.33,41.7,21.01,29.88,23.91,52.46,37.75,10,8,26.63,Extreme,True,15,28.61,51.93,29.08,51.9,77.1,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,53.63,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-17,24,46.63,29.45,38.49,22.82,14.11,2.77,923.4,43.08,21.49,30.88,25.5,54.51,40.11,11,8,29.45,Extreme,True,16,29.88,52.46,29.79,52.97,81.78,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,77.42,Extreme,Red,"Activate the Heat Action Plan, open cooling centres and restrict peak-hour outdoor work.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-17,24,46.63,29.45,38.49,22.82,14.11,2.77,923.4,43.08,21.49,30.88,25.5,54.51,40.11,11,8,29.45,Extreme,True,16,29.88,52.46,29.79,52.97,81.78,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,70.04,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-17,24,46.63,29.45,38.49,22.82,14.11,2.77,923.4,43.08,21.49,30.88,25.5,54.51,40.11,11,8,29.45,Extreme,True,16,29.88,52.46,29.79,52.97,81.78,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,68.41,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-17,24,46.63,29.45,38.49,22.82,14.11,2.77,923.4,43.08,21.49,30.88,25.5,54.51,40.11,11,8,29.45,Extreme,True,16,29.88,52.46,29.79,52.97,81.78,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,63.34,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-17,24,46.63,29.45,38.49,22.82,14.11,2.77,923.4,43.08,21.49,30.88,25.5,54.51,40.11,11,8,29.45,Extreme,True,16,29.88,52.46,29.79,52.97,81.78,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,56.88,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-18,24,46.88,30.52,38.45,23.01,15.12,3.69,919.38,43.99,22.42,31.56,25.77,56.09,40.37,12,8,30.52,Extreme,True,17,30.88,54.51,30.77,54.35,84.72,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,80.2,Extreme,Red,"Activate the Heat Action Plan, open cooling centres and restrict peak-hour outdoor work.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-18,24,46.88,30.52,38.45,23.01,15.12,3.69,919.38,43.99,22.42,31.56,25.77,56.09,40.37,12,8,30.52,Extreme,True,17,30.88,54.51,30.77,54.35,84.72,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,72.56,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-18,24,46.88,30.52,38.45,23.01,15.12,3.69,919.38,43.99,22.42,31.56,25.77,56.09,40.37,12,8,30.52,Extreme,True,17,30.88,54.51,30.77,54.35,84.72,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,70.87,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-18,24,46.88,30.52,38.45,23.01,15.12,3.69,919.38,43.99,22.42,31.56,25.77,56.09,40.37,12,8,30.52,Extreme,True,17,30.88,54.51,30.77,54.35,84.72,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,65.62,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-18,24,46.88,30.52,38.45,23.01,15.12,3.69,919.38,43.99,22.42,31.56,25.77,56.09,40.37,12,8,30.52,Extreme,True,17,30.88,54.51,30.77,54.35,84.72,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,58.93,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-19,24,47.13,30.15,38.84,27.43,17.41,4.19,914.17,44.85,23.02,32.05,26.62,56.95,41.09,12,10,30.15,Extreme,True,18,31.56,56.09,31.5,55.85,86.88,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,82.25,Extreme,Red,"Activate the Heat Action Plan, open cooling centres and restrict peak-hour outdoor work.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-19,24,47.13,30.15,38.84,27.43,17.41,4.19,914.17,44.85,23.02,32.05,26.62,56.95,41.09,12,10,30.15,Extreme,True,18,31.56,56.09,31.5,55.85,86.88,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,74.41,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-19,24,47.13,30.15,38.84,27.43,17.41,4.19,914.17,44.85,23.02,32.05,26.62,56.95,41.09,12,10,30.15,Extreme,True,18,31.56,56.09,31.5,55.85,86.88,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,72.68,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-19,24,47.13,30.15,38.84,27.43,17.41,4.19,914.17,44.85,23.02,32.05,26.62,56.95,41.09,12,10,30.15,Extreme,True,18,31.56,56.09,31.5,55.85,86.88,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,67.29,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-19,24,47.13,30.15,38.84,27.43,17.41,4.19,914.17,44.85,23.02,32.05,26.62,56.95,41.09,12,10,30.15,Extreme,True,18,31.56,56.09,31.5,55.85,86.88,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,60.43,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-20,24,47.01,31.36,39.07,28.84,16.48,4.33,922.75,44.02,22.35,31.51,26.43,56.79,41.15,12,9,31.36,Extreme,True,19,32.05,56.95,31.71,56.61,84.55,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,80.04,Extreme,Red,"Activate the Heat Action Plan, open cooling centres and restrict peak-hour outdoor work.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-20,24,47.01,31.36,39.07,28.84,16.48,4.33,922.75,44.02,22.35,31.51,26.43,56.79,41.15,12,9,31.36,Extreme,True,19,32.05,56.95,31.71,56.61,84.55,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,72.41,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-20,24,47.01,31.36,39.07,28.84,16.48,4.33,922.75,44.02,22.35,31.51,26.43,56.79,41.15,12,9,31.36,Extreme,True,19,32.05,56.95,31.71,56.61,84.55,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,70.73,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-20,24,47.01,31.36,39.07,28.84,16.48,4.33,922.75,44.02,22.35,31.51,26.43,56.79,41.15,12,9,31.36,Extreme,True,19,32.05,56.95,31.71,56.61,84.55,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,65.48,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-20,24,47.01,31.36,39.07,28.84,16.48,4.33,922.75,44.02,22.35,31.51,26.43,56.79,41.15,12,9,31.36,Extreme,True,19,32.05,56.95,31.71,56.61,84.55,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,58.81,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-21,24,45.96,30.97,37.88,21.81,14.96,2.65,923.5,42.52,21.15,30.86,25.38,53.33,39.34,10,8,30.97,Extreme,True,20,31.51,56.79,31.47,55.69,81.49,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,77.15,Extreme,Red,"Activate the Heat Action Plan, open cooling centres and restrict peak-hour outdoor work.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-21,24,45.96,30.97,37.88,21.81,14.96,2.65,923.5,42.52,21.15,30.86,25.38,53.33,39.34,10,8,30.97,Extreme,True,20,31.51,56.79,31.47,55.69,81.49,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,69.79,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
